filename,width,height,class,xmin,ymin,xmax,ymax
w (79).jpg,720,720,bicycle,497,268,591,356
w (45).jpg,720,720,const,327,279,397,336
w (211).jpg,720,720,bicycle,307,228,417,324
w (252).jpg,720,720,bicycle,275,84,609,346
w (203).jpg,720,720,bicycle,315,206,426,315
w (113).jpg,720,720,inter,436,383,482,429
w (5).jpg,720,720,bicycle,218,84,617,435
w (42).jpg,720,720,bicycle,367,324,412,372
w (242).jpg,720,720,bicycle,435,125,647,323
w (210).jpg,720,720,bicycle,304,186,430,290
w (241).jpg,720,720,bicycle,254,146,608,458
w (111).jpg,720,720,inter,317,308,376,365
w (71).jpg,720,720,bicycle,295,246,452,375
w (71).jpg,720,720,const,459,272,503,303
w (63).jpg,720,720,const,402,344,454,392
w (105).jpg,720,720,inter,391,317,473,402
w (219).jpg,720,720,bicycle,323,180,442,296
w (3).jpg,720,720,inter,262,266,401,411
w (268).jpg,720,720,bicycle,312,123,424,414
w (74).jpg,720,720,const,491,268,538,308
w (74).jpg,720,720,bicycle,379,246,506,376
w (226).jpg,720,720,bicycle,298,197,452,328
w (8).jpg,720,720,bicycle,280,195,476,375
w (122).jpg,720,720,inter,338,317,377,352
w (214).jpg,720,720,bicycle,299,108,660,439
w (61).jpg,720,720,const,401,324,449,365
w (114).jpg,720,720,inter,318,453,371,509
w (60).jpg,720,720,const,440,292,481,325
w (66).jpg,720,720,bicycle,332,189,677,479
w (49).jpg,720,720,const,324,290,362,328
w (251).jpg,720,720,bicycle,130,150,563,519
w (236).jpg,720,720,bicycle,35,145,688,507
w (51).jpg,720,720,const,323,312,363,353
w (257).jpg,720,720,bicycle,103,179,353,402
w (209).jpg,720,720,bicycle,287,187,447,313
w (237).jpg,720,720,bicycle,97,97,588,592
w (212).jpg,720,720,bicycle,317,248,415,329
w (213).jpg,720,720,bicycle,329,263,423,337
w (263).jpg,720,720,bicycle,236,117,507,383
w (109).jpg,720,720,inter,476,280,548,344
w (123).jpg,720,720,inter,318,274,436,368
w (217).jpg,720,720,bicycle,304,134,485,300
w (65).jpg,720,720,bicycle,315,186,641,415
w (46).jpg,720,720,const,298,291,349,339
w (206).jpg,720,720,bicycle,349,223,431,296
w (224).jpg,720,720,bicycle,220,151,486,363
w (70).jpg,720,720,const,502,292,551,331
w (70).jpg,720,720,bicycle,310,269,495,417
w (266).jpg,720,720,bicycle,141,213,513,542
w (120).jpg,720,720,inter,207,328,276,400
w (265).jpg,720,720,bicycle,217,222,601,589
w (80).jpg,720,720,bicycle,487,296,570,365
w (80).jpg,720,720,const,556,309,586,336
w (58).jpg,720,720,const,357,283,406,324
w (267).jpg,720,720,bicycle,373,144,526,428
w (106).jpg,720,720,inter,397,418,497,517
w (222).jpg,720,720,bicycle,312,209,401,294
w (249).jpg,720,720,bicycle,230,101,579,409
w (21).jpg,720,720,inter,351,308,391,350
w (228).jpg,720,720,bicycle,323,229,434,323
w (231).jpg,720,720,bicycle,102,164,679,498
w (218).jpg,720,720,bicycle,309,165,452,295
w (250).jpg,720,720,bicycle,312,291,606,580
w (76).jpg,720,720,const,549,257,587,292
w (76).jpg,720,720,bicycle,448,241,562,339
w (208).jpg,720,720,bicycle,271,170,471,331
w (124).jpg,720,720,inter,377,395,410,430
w (37).jpg,720,720,bicycle,317,263,404,355
w (54).jpg,720,720,const,397,307,481,365
w (55).jpg,720,720,const,431,397,499,457
w (62).jpg,720,720,const,345,289,397,331
w (126).jpg,720,720,inter,421,401,456,428
w (256).jpg,720,720,bicycle,210,108,486,441
w (107).jpg,720,720,inter,467,287,549,364
w (233).jpg,720,720,bicycle,201,80,529,506
w (220).jpg,720,720,bicycle,323,181,429,285
w (22).jpg,720,720,inter,360,303,391,335
w (6).jpg,720,720,const,215,198,501,411
w (244).jpg,720,720,bicycle,117,74,634,436
w (232).jpg,720,720,bicycle,91,153,688,490
w (43).jpg,720,720,bicycle,337,285,417,358
w (75).jpg,720,720,bicycle,387,234,506,346
w (75).jpg,720,720,const,487,256,524,290
w (121).jpg,720,720,inter,463,381,532,439
w (56).jpg,720,720,const,407,403,454,447
w (64).jpg,720,720,const,354,329,414,379
w (48).jpg,720,720,const,326,306,365,347
w (225).jpg,720,720,bicycle,264,173,465,345
w (68).jpg,720,720,bicycle,280,190,512,391
w (68).jpg,720,720,const,556,230,612,278
w (204).jpg,720,720,bicycle,337,222,438,318
w (78).jpg,720,720,const,503,224,536,255
w (78).jpg,720,720,bicycle,429,208,521,295
w (104).jpg,720,720,inter,419,256,514,339
w (26).jpg,720,720,inter,379,246,407,275
w (221).jpg,720,720,bicycle,323,197,420,287
w (38).jpg,720,720,bicycle,371,276,453,353
w (227).jpg,720,720,bicycle,319,209,448,323
w (234).jpg,720,720,bicycle,173,108,532,536
w (117).jpg,720,720,inter,396,358,435,398
w (50).jpg,720,720,const,292,305,337,342
w (248).jpg,720,720,bicycle,410,1,659,242
w (205).jpg,720,720,bicycle,346,225,429,307
w (57).jpg,720,720,const,426,329,473,368
w (216).jpg,720,720,bicycle,304,122,518,326
w (271).jpg,720,720,bicycle,208,146,492,415
w (23).jpg,720,720,inter,356,307,381,336
w (259).jpg,720,720,bicycle,321,174,518,350
w (246).jpg,720,720,bicycle,246,148,374,298
w (25).jpg,720,720,inter,387,357,413,385
w (125).jpg,720,720,inter,454,311,480,339
w (7).jpg,720,720,const,370,255,514,372
w (44).jpg,720,720,const,367,262,458,347
w (112).jpg,720,720,inter,435,328,485,372
w (59).jpg,720,720,const,381,342,420,375
w (243).jpg,720,720,bicycle,97,114,619,581
w (223).jpg,720,720,bicycle,236,145,510,367
w (115).jpg,720,720,inter,317,247,445,370
w (215).jpg,720,720,bicycle,210,92,512,380
w (273).jpg,720,720,bicycle,313,169,484,323
w (72).jpg,720,720,const,441,230,486,264
w (72).jpg,720,720,bicycle,297,206,447,336
w (24).jpg,720,720,inter,397,307,424,333
w (20).jpg,720,720,inter,368,296,423,347
w (264).jpg,720,720,bicycle,188,69,509,376
w (238).jpg,720,720,bicycle,174,55,682,573
w (270).jpg,720,720,bicycle,237,192,512,440
w (36).jpg,720,720,bicycle,377,237,491,359
w (53).jpg,720,720,const,404,279,504,359
w (108).jpg,720,720,inter,340,280,419,359
w (67).jpg,720,720,bicycle,399,137,665,373
w (229).jpg,720,720,bicycle,338,261,434,345
w (255).jpg,720,720,bicycle,284,245,423,386
w (73).jpg,720,720,bicycle,374,224,513,351
w (73).jpg,720,720,const,499,246,540,280
w (262).jpg,720,720,bicycle,309,137,601,398
w (47).jpg,720,720,const,409,292,452,335
w (202).jpg,720,720,bicycle,319,181,451,308
w (69).jpg,720,720,const,680,244,720,288
w (69).jpg,720,720,bicycle,420,214,629,384
w (207).jpg,720,720,bicycle,262,148,527,386
w (269).jpg,720,720,bicycle,252,98,492,397
w (253).jpg,720,720,bicycle,298,297,432,413
w (119).jpg,720,720,inter,456,329,495,369
w (254).jpg,720,720,bicycle,4,14,719,381
w (77).jpg,720,720,bicycle,423,200,527,298
w (77).jpg,720,720,const,508,208,546,253
w (118).jpg,720,720,inter,409,381,446,419
w (245).jpg,720,720,bicycle,58,56,660,655
w (116).jpg,720,720,inter,359,334,401,375
w (39).jpg,720,720,bicycle,330,302,414,383
w (40).jpg,720,720,bicycle,284,281,340,339
w (110).jpg,720,720,inter,388,312,443,368
w (240).jpg,720,720,bicycle,30,67,690,647
add (9).JPG,720,720,const,145,234,215,300
add (9).JPG,720,720,bicycle,259,259,348,320
add (32).JPG,720,720,inter,413,298,567,444
add (42).JPG,720,720,inter,170,234,292,363
add (46).JPG,720,720,const,176,244,232,279
add (46).JPG,720,720,bicycle,247,256,302,292
add (46).JPG,720,720,inter,497,318,597,396
bicycle (136).jpg,720,720,bicycle,19,21,688,541
bicycle (137).jpg,720,720,bicycle,1,1,720,720
inter (23).jpg,720,720,inter,20,91,53,127
inter (23).jpg,720,720,bicycle,154,489,212,565
inter (23).jpg,720,720,const,231,522,273,561
inter (55).jpg,720,720,inter,43,171,72,219
inter (55).jpg,720,720,inter,627,177,661,221
inter (57).jpg,720,720,inter,478,412,606,462
inter (58).jpg,720,720,inter,249,111,304,142
inter (58).jpg,720,720,const,591,341,664,373
inter (59).jpg,720,720,inter,195,204,218,231
inter (60).jpg,720,720,inter,194,119,235,156
inter (61).jpg,720,720,inter,79,293,127,332
inter (61).jpg,720,720,const,631,290,678,336
inter (62).jpg,720,720,inter,104,96,158,161
inter (64).jpg,720,720,inter,30,426,79,477
inter (65).jpg,720,720,inter,87,148,162,243
inter (66).jpg,720,720,inter,631,281,675,331
inter (70).jpg,720,720,inter,124,107,158,156
inter (70).jpg,720,720,const,204,456,258,511
w (162).jpg,720,720,inter,247,344,292,414
w (162).jpg,720,720,bicycle,390,270,493,429
w (162).jpg,720,720,const,517,325,587,420
w (163).jpg,720,720,const,504,279,570,367
w (163).jpg,720,720,bicycle,396,233,482,378
w (163).jpg,720,720,inter,265,301,304,361
w (164).jpg,720,720,inter,281,273,318,329
w (164).jpg,720,720,bicycle,401,213,475,345
w (164).jpg,720,720,const,496,257,560,336
w (165).jpg,720,720,const,495,270,552,344
w (165).jpg,720,720,bicycle,403,231,479,347
w (165).jpg,720,720,inter,293,287,330,341
w (166).jpg,720,720,inter,282,240,319,291
w (166).jpg,720,720,bicycle,388,202,457,308
w (166).jpg,720,720,const,471,239,518,307
w (167).jpg,720,720,const,459,248,502,305
w (167).jpg,720,720,bicycle,381,211,443,308
w (167).jpg,720,720,inter,291,253,317,303
w (168).jpg,720,720,inter,275,248,299,287
w (168).jpg,720,720,bicycle,359,201,415,295
w (168).jpg,720,720,const,430,229,475,286
w (169).jpg,720,720,const,507,247,551,306
w (169).jpg,720,720,bicycle,435,213,490,302
w (169).jpg,720,720,inter,349,247,382,286
w (170).jpg,720,720,inter,270,279,295,312
w (170).jpg,720,720,bicycle,343,242,392,322
w (170).jpg,720,720,const,407,272,443,319
w (171).jpg,720,720,const,409,295,443,342
w (171).jpg,720,720,bicycle,354,270,402,342
w (171).jpg,720,720,inter,285,300,307,336
w (172).jpg,720,720,inter,258,294,281,328
w (172).jpg,720,720,bicycle,332,258,377,331
w (172).jpg,720,720,const,390,275,423,325
w (173).jpg,720,720,const,365,235,399,281
w (173).jpg,720,720,bicycle,309,212,357,283
w (173).jpg,720,720,inter,241,241,268,270
w (174).jpg,720,720,inter,86,361,108,395
w (174).jpg,720,720,bicycle,162,309,209,392
w (174).jpg,720,720,const,218,331,253,374
w (175).jpg,720,720,inter,262,317,282,346
w (175).jpg,720,720,bicycle,324,290,369,355
w (175).jpg,720,720,const,379,313,407,357
w (176).jpg,720,720,inter,285,425,307,465
w (176).jpg,720,720,bicycle,348,406,391,472
w (176).jpg,720,720,const,398,429,430,472
w (177).jpg,720,720,inter,297,307,332,363
w (177).jpg,720,720,bicycle,406,244,501,387
w (177).jpg,720,720,const,524,296,591,383
w (178).jpg,720,720,const,518,242,573,324
w (178).jpg,720,720,bicycle,426,203,498,318
w (178).jpg,720,720,inter,337,251,369,300
w (179).jpg,720,720,inter,313,290,336,333
w (179).jpg,720,720,bicycle,387,245,451,355
w (179).jpg,720,720,const,469,286,513,353
w (180).jpg,720,720,inter,321,217,347,251
w (180).jpg,720,720,bicycle,382,173,440,274
w (180).jpg,720,720,const,456,213,492,284
w (181).jpg,720,720,const,473,284,507,346
w (181).jpg,720,720,bicycle,409,253,459,345
w (181).jpg,720,720,inter,354,292,377,328
w (182).jpg,720,720,inter,236,239,267,278
w (182).jpg,720,720,bicycle,325,205,403,290
w (182).jpg,720,720,const,427,235,479,294
w (185).jpg,720,720,const,487,265,518,308
w (185).jpg,720,720,bicycle,418,247,468,309
w (185).jpg,720,720,inter,359,273,379,298
w (186).jpg,720,720,inter,347,262,369,285
w (186).jpg,720,720,bicycle,404,236,449,292
w (186).jpg,720,720,const,465,250,491,290
w (187).jpg,720,720,const,498,218,525,251
w (187).jpg,720,720,bicycle,436,202,481,256
w (187).jpg,720,720,inter,381,225,401,245
w (188).jpg,720,720,inter,330,311,347,335
w (188).jpg,720,720,bicycle,385,291,423,336
w (188).jpg,720,720,const,435,300,462,336
w (189).jpg,720,720,const,449,244,479,276
w (189).jpg,720,720,bicycle,397,234,438,280
w (189).jpg,720,720,inter,345,256,365,278
w (190).jpg,720,720,inter,229,269,248,289
w (190).jpg,720,720,bicycle,282,252,317,297
w (190).jpg,720,720,const,327,262,353,296
w (191).jpg,720,720,const,417,336,438,362
w (191).jpg,720,720,bicycle,368,326,406,365
w (191).jpg,720,720,inter,317,341,335,363
w (192).jpg,720,720,inter,230,251,286,317
w (192).jpg,720,720,bicycle,429,195,537,313
w (192).jpg,720,720,const,567,233,649,298
w (193).jpg,720,720,const,496,223,571,281
w (193).jpg,720,720,bicycle,382,191,476,291
w (193).jpg,720,720,inter,213,246,264,294
w (194).jpg,720,720,inter,247,255,291,305
w (194).jpg,720,720,bicycle,392,208,471,305
w (194).jpg,720,720,const,490,231,556,291
w (195).jpg,720,720,const,532,202,597,253
w (195).jpg,720,720,bicycle,452,183,525,264
w (195).jpg,720,720,inter,313,224,356,268
w (196).jpg,720,720,inter,269,264,302,306
w (196).jpg,720,720,bicycle,382,224,451,302
w (196).jpg,720,720,const,462,246,515,292
w (197).jpg,720,720,const,487,174,538,220
w (197).jpg,720,720,bicycle,414,152,477,222
w (197).jpg,720,720,inter,304,187,338,225
w (198).jpg,720,720,inter,252,241,288,279
w (198).jpg,720,720,bicycle,367,196,427,274
w (198).jpg,720,720,const,436,218,493,263
w (199).jpg,720,720,const,375,244,417,290
w (199).jpg,720,720,bicycle,319,230,363,289
w (199).jpg,720,720,inter,226,253,257,290
w (200).jpg,720,720,inter,258,246,285,283
w (200).jpg,720,720,bicycle,349,219,391,284
w (200).jpg,720,720,const,399,240,440,278
w (201).jpg,720,720,const,420,268,458,306
w (201).jpg,720,720,bicycle,371,250,414,313
w (201).jpg,720,720,inter,292,279,315,309
w (247).jpg,720,720,bicycle,99,408,335,641
w (258).jpg,720,720,bicycle,380,379,613,579
